recipe_name,calories,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,vitamin_a_percent,vitamin_c_percent,calcium_percent,iron_percent
Dal Makhani,297,36,53,18,4,10,1300,34,36,55,29,18
Pakistani Bread Special 495,418,22,78,28,2,16,898,56,6,29,22,29
Paya,593,34,78,27,7,18,894,23,37,5,23,15
Haleem,192,13,49,20,4,7,959,39,6,28,24,29
Haleem,463,39,54,26,7,3,503,19,29,12,24,12
Biryani,396,18,45,27,5,12,366,26,37,14,8,28
Chapli Kabab,241,35,39,20,3,10,351,58,11,12,8,27
Haleem,556,14,62,19,4,5,1030,95,35,42,24,12
Seekh Kabab,492,49,62,36,9,3,1257,95,34,23,5,18
Pakistani Desserts Special 3,244,21,64,38,11,5,374,52,18,59,26,12
Korma,646,19,61,13,14,8,606,54,11,31,7,15
Palak Paneer,528,35,63,16,3,10,496,5,30,52,8,37
Seekh Kabab,764,36,48,31,6,19,440,72,22,43,23,11
Aloo Gosht,532,33,54,33,14,6,719,83,11,27,9,20
Seekh Kabab,408,17,44,19,8,15,884,82,37,13,9,23
Pakistani Desserts Special 9,684,6,46,23,5,19,385,11,20,35,9,25
Pakistani Desserts Special 10,346,9,64,10,7,17,1484,35,32,47,29,36
Sindhi Biryani,329,45,47,36,2,5,1023,88,35,35,22,34
Lahori Chargha,748,27,34,34,7,6,670,76,23,35,8,13
Karahi,257,10,46,12,7,19,217,14,32,38,22,27
Chicken Tikka,416,8,63,14,2,10,921,66,34,51,20,33
Biryani,677,13,56,15,11,6,1236,19,35,51,13,29
Pakistani Desserts Special 16,303,48,43,33,7,11,933,36,11,26,26,34
Sajji,237,20,45,17,7,14,1499,0,23,36,15,24
Aloo Gosht,378,15,72,23,2,5,703,76,26,9,8,24
Chapli Kabab,353,15,55,10,11,13,477,31,17,12,19,27
Chicken Tikka,286,18,72,28,2,19,1404,57,11,59,18,37
Paya,506,42,46,29,14,18,256,9,31,55,11,18
Pakistani Desserts Special 22,518,24,43,29,11,19,975,36,25,27,29,31
Biryani,736,38,62,35,4,12,702,70,23,22,28,10
Paya,470,19,52,22,5,17,816,32,13,7,14,36
Chapli Kabab,497,23,50,19,10,2,1058,62,13,11,11,30
Pakistani Desserts Special 26,372,34,62,29,11,17,1238,65,36,7,11,38
Pakistani Desserts Special 27,495,41,55,33,3,13,922,36,38,12,28,14
Chapli Kabab,342,39,67,39,5,10,418,4,6,14,9,33
Dal Makhani,294,14,47,21,6,11,750,99,24,50,12,25
Sajji,513,8,54,14,3,8,262,0,32,10,26,12
Pakistani Desserts Special 31,316,31,36,22,8,12,428,27,27,56,8,28
Pakistani Desserts Special 32,225,34,43,26,9,15,1228,77,25,32,7,18
Korma,784,18,76,23,4,14,1109,0,9,46,14,17
Aloo Gosht,399,31,63,38,11,11,1395,21,6,28,13,11
Pakistani Desserts Special 35,751,28,70,31,6,13,1381,2,10,16,17,14
Haleem,162,25,33,38,11,19,1415,45,11,26,12,37
Haleem,412,47,74,20,13,3,471,34,30,50,23,13
Nihari,742,34,55,28,13,5,1229,64,23,42,13,26
Nihari,614,46,79,17,10,12,526,62,37,10,7,32
Aloo Gosht,750,25,60,36,8,12,483,75,9,37,18,17
Seekh Kabab,521,17,32,20,3,4,1453,68,22,58,24,20
Korma,449,19,74,23,5,2,760,36,37,34,14,10
Pakistani Desserts Special 43,798,44,37,18,8,9,651,72,20,11,22,33
Nihari,421,35,50,33,7,10,493,96,22,18,15,27
Paya,478,44,45,39,14,12,1246,53,26,58,16,10
Chicken Tikka,239,12,78,15,4,11,1193,33,9,15,17,32
Pakistani Desserts Special 47,694,5,51,10,5,2,1206,29,30,54,25,22
Paya,467,46,65,37,7,15,569,86,5,41,15,20
Pakistani Desserts Special 49,635,46,38,18,5,19,1465,0,14,23,17,27
Chicken Tikka,412,36,60,24,6,16,1079,38,38,34,19,16
Lahori Chargha,298,32,51,28,12,16,1112,53,10,53,29,26
Korma,186,49,37,26,10,10,669,47,9,23,6,29
Sindhi Biryani,605,25,59,34,4,16,1289,13,36,57,9,30
Biryani,295,25,53,34,12,8,939,42,7,30,18,15
Pakistani Desserts Special 55,379,39,76,26,14,5,1282,82,20,43,24,20
Aloo Gosht,276,35,46,26,14,14,1122,12,24,46,20,29
Paya,406,41,40,33,2,5,879,9,27,50,13,14
Lahori Chargha,781,6,44,16,9,6,304,96,37,6,16,33
Aloo Gosht,341,15,53,14,11,17,1429,14,20,48,5,29
Sajji,484,5,34,21,8,13,1281,69,6,8,22,22
Sajji,622,19,34,28,11,8,1444,55,16,17,18,32
Chapli Kabab,343,42,60,18,5,6,691,30,6,28,27,21
Haleem,379,27,78,21,14,5,961,0,7,16,27,14
Pakistani Desserts Special 64,394,13,30,15,3,17,1256,44,37,31,17,28
Aloo Gosht,511,7,67,16,12,11,746,36,24,56,7,10
Pakistani Desserts Special 66,333,5,44,18,6,2,831,82,5,24,19,39
Pakistani Desserts Special 67,784,38,73,28,9,19,1299,0,5,23,25,26
Sajji,501,25,47,32,5,7,1252,92,19,51,14,23
Palak Paneer,532,16,31,24,12,11,1123,75,15,9,8,38
Karahi,604,18,32,27,12,13,532,9,21,35,27,35
Dal Makhani,179,21,45,30,7,12,524,17,15,25,9,32
Sindhi Biryani,745,7,36,16,10,8,1351,21,16,45,10,20
Chicken Tikka,744,25,61,36,9,3,834,95,6,18,24,36
Biryani,540,22,42,16,4,15,1447,30,19,40,28,25
Seekh Kabab,697,26,64,20,8,8,1102,61,25,23,9,36
Sajji,664,11,64,17,8,19,994,13,38,44,11,29
Pakistani Desserts Special 77,182,43,51,17,2,11,1125,86,6,57,15,34
Lahori Chargha,592,12,77,15,5,15,628,52,5,6,13,21
Seekh Kabab,297,12,77,21,6,12,610,10,37,36,10,18
Aloo Gosht,711,45,52,17,7,14,1085,64,37,36,29,28
Nihari,422,35,43,18,12,9,739,62,26,26,6,15
Dal Makhani,327,21,44,20,10,10,447,28,18,20,15,23
Korma,734,38,64,21,10,8,516,44,22,26,9,37
Lahori Chargha,467,10,73,18,4,8,1046,43,7,9,5,14
Chapli Kabab,184,7,36,12,5,16,769,0,33,38,21,24
Seekh Kabab,730,17,41,19,7,16,343,98,22,58,24,34
Pakistani Desserts Special 87,325,20,38,28,3,6,664,0,11,43,8,14
Nihari,420,40,34,16,14,9,718,0,28,59,9,19
Chicken Tikka,213,18,76,24,3,2,1197,76,14,48,28,13
Palak Paneer,474,25,35,15,7,14,1437,39,17,15,12,24
Pakistani Desserts Special 91,609,43,78,31,12,13,1011,19,5,12,16,29
Haleem,578,23,49,18,7,8,307,48,24,18,27,37
Paya,602,46,33,35,12,19,572,36,7,55,10,19
Pakistani Desserts Special 94,691,35,50,30,14,10,1037,16,21,36,16,38
Chapli Kabab,317,20,31,26,7,3,887,89,10,23,24,32
Pakistani Desserts Special 96,798,49,43,38,6,13,530,76,38,5,18,22
Pakistani Desserts Special 97,525,44,75,23,8,19,726,0,28,25,14,17
Korma,741,6,62,20,4,5,573,87,30,25,16,36
Pakistani Desserts Special 99,189,37,61,27,9,10,881,82,38,36,25,20
Sajji,697,19,56,21,14,9,540,9,33,51,17,20
Korma,493,22,65,38,4,12,1356,0,16,49,24,30
Chapli Kabab,230,6,65,11,14,5,1093,47,8,6,16,31
Chapli Kabab,553,45,66,36,9,13,628,34,11,54,6,24
Pakistani Desserts Special 104,387,10,41,23,3,9,346,68,10,52,24,38
Nihari,158,25,79,38,5,7,1426,92,24,42,29,10
Dal Makhani,656,22,55,36,14,13,392,89,39,48,24,15
Pakistani Desserts Special 107,414,17,67,17,6,14,1058,0,11,18,12,12
Palak Paneer,677,39,39,18,7,4,568,87,8,37,6,31
Paya,551,5,63,26,2,15,911,69,30,55,8,19
Pakistani Desserts Special 110,178,26,44,20,6,11,966,53,16,25,9,26
Dal Makhani,309,19,40,17,10,5,406,34,32,32,24,29
Chapli Kabab,498,7,47,21,4,12,547,92,25,9,25,17
Lahori Chargha,506,23,30,27,10,12,434,67,32,29,6,31
Biryani,371,8,79,26,14,15,231,21,33,12,13,37
Karahi,220,28,67,28,11,11,1014,14,10,5,21,13
Sindhi Biryani,385,48,55,15,14,12,226,55,24,55,7,17
Seekh Kabab,243,9,60,21,9,7,347,62,37,8,18,39
Pakistani Desserts Special 118,575,23,37,23,10,18,878,53,36,21,19,15
Nihari,361,39,53,33,8,7,1429,93,16,5,5,17
Chapli Kabab,427,31,72,29,14,3,358,33,20,10,22,27
Lahori Chargha,581,39,70,36,3,10,1220,1,5,10,28,24
Pakistani Desserts Special 122,656,25,31,25,3,16,1339,92,21,30,21,15
Korma,257,28,36,20,8,15,1086,18,38,58,27,21
Biryani,267,26,32,18,2,9,971,9,6,54,23,21
Paya,270,14,55,28,11,19,278,0,27,57,28,32
Korma,483,43,31,26,2,5,459,58,5,6,11,19
Pakistani Desserts Special 127,768,49,55,16,14,14,507,27,30,46,13,38
Aloo Gosht,735,35,79,22,13,10,745,10,12,25,14,30
Chapli Kabab,294,45,77,28,8,10,574,10,35,38,29,24
Sindhi Biryani,623,16,52,25,11,7,993,0,38,42,25,14
Pakistani Desserts Special 131,396,49,46,15,8,12,1065,99,16,50,19,32
Pakistani Desserts Special 132,366,17,43,26,13,6,1218,0,37,29,9,14
Karahi,348,9,33,17,3,17,667,81,17,36,10,26
Korma,452,47,55,22,13,16,525,80,22,36,17,25
Pakistani Desserts Special 135,726,30,43,39,8,18,585,0,11,53,28,35
Haleem,374,21,71,16,10,14,466,0,24,24,27,36
Chicken Tikka,643,13,59,28,10,12,508,87,39,27,6,33
Pakistani Desserts Special 138,353,9,73,23,11,10,1113,30,38,24,7,28
Aloo Gosht,254,47,47,38,14,11,345,36,39,32,14,11
Pakistani Desserts Special 140,646,37,46,36,14,13,664,96,16,47,7,22
Pakistani Desserts Special 141,640,25,47,34,7,8,1241,39,16,55,29,18
Pakistani Desserts Special 142,524,7,30,10,7,3,1063,0,37,22,23,27
Pakistani Desserts Special 143,620,33,55,31,11,16,1078,18,34,27,10,21
Aloo Gosht,417,34,55,24,11,7,1234,28,5,27,29,24
Sajji,397,13,36,22,2,19,1491,22,15,32,9,26
Haleem,463,29,50,19,11,6,575,93,27,49,5,36
Pakistani Desserts Special 147,575,6,31,20,4,8,475,28,34,13,11,23
Pakistani Desserts Special 148,777,48,38,17,10,2,1255,60,16,28,15,30
Seekh Kabab,734,28,30,19,13,15,521,12,24,5,24,31
Pakistani Desserts Special 150,233,45,34,16,10,5,1348,6,37,41,27,18
Chicken Tikka,472,15,43,15,6,3,784,6,38,36,22,11
Seekh Kabab,205,13,36,13,8,3,551,34,8,52,25,22
Pakistani Desserts Special 153,458,15,43,24,12,10,551,0,9,47,17,26
Dal Makhani,743,45,44,24,7,12,1477,4,32,34,8,20
Aloo Gosht,720,27,67,34,14,10,556,8,15,22,19,39
Sindhi Biryani,796,25,54,19,10,8,440,48,5,29,16,25
Pakistani Desserts Special 157,207,49,62,35,2,17,1245,77,23,32,26,24
Biryani,560,28,76,36,3,15,788,51,16,56,7,25
Pakistani Desserts Special 159,384,25,30,18,10,2,1107,50,30,26,9,19
Lahori Chargha,602,13,47,23,4,19,1447,90,11,37,6,22
Biryani,457,19,66,22,13,11,271,27,26,21,17,19
Nihari,657,47,69,17,3,4,551,63,38,23,25,26
Chicken Tikka,789,9,73,13,13,5,1154,45,27,7,18,36
Pakistani Desserts Special 164,706,42,43,21,4,5,1167,90,29,44,8,25
Seekh Kabab,337,47,31,23,13,17,1490,55,12,42,13,11
Pakistani Desserts Special 166,486,39,73,22,3,13,958,39,37,29,14,33
Nihari,210,47,75,23,2,7,305,60,36,50,21,38
Chapli Kabab,792,43,35,36,6,3,1037,0,22,42,6,14
Aloo Gosht,222,49,37,21,10,16,902,48,13,31,14,22
Pakistani Desserts Special 170,449,27,46,19,6,7,996,8,16,34,14,12
Palak Paneer,333,37,78,35,7,4,793,83,19,12,10,34
Biryani,267,8,63,21,2,11,635,22,5,10,9,23
Lahori Chargha,308,18,43,19,7,18,1368,0,7,24,27,14
Sajji,433,44,58,31,10,7,404,41,25,22,5,33
Palak Paneer,276,8,70,25,14,13,807,27,26,29,9,39
Pakistani Desserts Special 176,588,36,54,39,12,15,931,76,24,38,14,39
Lahori Chargha,600,10,31,13,12,2,1110,66,10,16,23,22
Seekh Kabab,602,47,79,27,12,5,1289,46,6,19,14,19
Lahori Chargha,218,40,39,31,5,3,277,79,9,46,5,37
Nihari,503,37,44,18,3,17,1015,0,36,34,8,33
Nihari,636,28,38,38,14,9,485,97,12,59,28,25
Pakistani Desserts Special 182,503,24,40,15,8,9,1117,24,12,39,5,11
Chicken Tikka,578,25,33,20,5,2,859,46,24,22,9,27
Seekh Kabab,493,7,40,27,5,17,618,44,34,28,23,24
Nihari,528,25,38,36,2,15,712,54,9,35,21,32
Chicken Tikka,676,41,49,36,14,8,1480,45,25,37,15,23
Chicken Tikka,554,26,65,24,8,16,845,73,37,26,13,36
Dal Makhani,403,31,31,20,11,6,1228,80,35,46,27,16
Sindhi Biryani,733,27,51,35,6,9,655,92,34,35,9,10
Pakistani Desserts Special 190,170,36,39,37,8,6,1173,7,21,25,27,13
Pakistani Desserts Special 191,365,49,72,39,13,3,878,84,30,12,23,23
Sindhi Biryani,383,42,45,18,10,16,658,33,14,29,20,24
Pakistani Desserts Special 193,705,24,69,16,2,8,1434,34,15,27,22,36
Pakistani Desserts Special 194,391,45,75,18,9,9,826,34,39,6,8,15
Korma,647,47,76,34,6,4,667,90,27,17,13,30
Pakistani Desserts Special 196,401,7,56,20,6,7,273,14,36,39,18,17
Pakistani Desserts Special 197,702,21,69,21,2,19,208,81,28,25,15,27
Lahori Chargha,163,34,48,17,6,11,1075,89,36,43,23,24
Palak Paneer,683,16,34,29,14,15,505,59,30,29,27,23
Sajji,305,34,36,29,8,7,1090,24,20,16,11,17
Palak Paneer,747,9,40,19,13,3,722,2,37,54,9,10
Haleem,601,44,61,19,12,4,1263,73,17,18,17,38
Pakistani Desserts Special 203,666,15,68,10,10,6,363,51,25,54,20,33
Sajji,190,42,73,19,13,2,1214,86,28,12,20,29
Lahori Chargha,488,15,49,12,13,10,917,34,13,35,29,16
Lahori Chargha,704,28,33,18,8,14,557,28,13,18,22,10
Paya,412,36,66,39,11,17,316,49,20,35,24,20
Sindhi Biryani,263,9,69,27,14,14,344,37,28,29,24,17
Sindhi Biryani,517,35,73,27,14,18,677,55,7,48,27,21
Seekh Kabab,609,49,51,34,14,17,1168,88,6,40,28,32
Dal Makhani,565,46,37,32,2,6,384,76,14,50,21,15
Pakistani Desserts Special 212,475,24,51,21,11,17,594,66,29,44,27,36
Pakistani Desserts Special 213,525,29,42,24,9,19,763,43,35,20,17,38
Pakistani Desserts Special 214,185,38,62,34,3,15,747,79,17,18,12,21
Palak Paneer,631,11,34,15,7,15,473,1,14,39,5,36
Palak Paneer,201,22,62,36,3,19,766,92,11,11,21,14
Korma,779,6,32,26,6,18,584,23,36,55,18,34
Sajji,515,47,77,15,8,12,1016,57,18,43,21,17
Chapli Kabab,220,36,48,23,4,9,950,18,39,10,26,18
Haleem,569,20,38,19,7,10,1377,61,35,48,24,13
Biryani,472,35,40,18,11,11,912,30,19,51,15,20
Biryani,552,45,58,19,4,13,590,75,31,7,13,11
Paya,486,40,39,34,5,5,972,46,12,52,7,32
Lahori Chargha,508,35,48,39,2,19,680,1,10,8,20,16
Pakistani Desserts Special 225,212,6,78,26,5,17,750,0,19,27,22,21
Dal Makhani,710,21,35,27,14,4,957,65,39,55,10,24
Sajji,763,15,47,25,8,17,1005,35,26,41,14,11
Pakistani Desserts Special 228,354,12,39,10,9,9,1357,35,33,14,17,25
Pakistani Desserts Special 229,245,37,74,35,8,13,874,49,37,24,22,14
Aloo Gosht,274,48,75,20,11,9,1448,7,6,5,15,22
Haleem,184,11,32,15,11,16,636,34,22,26,21,29
Pakistani Desserts Special 232,182,23,63,24,9,10,231,47,8,33,14,20
Pakistani Desserts Special 233,202,37,53,27,10,8,1423,90,34,33,16,21
Biryani,727,11,69,23,12,7,282,69,32,46,23,21
Haleem,569,25,66,21,2,18,737,46,20,7,28,34
Palak Paneer,706,41,52,15,11,3,251,67,15,31,24,39
Dal Makhani,491,27,71,35,2,12,1431,70,27,42,6,36
Chapli Kabab,384,22,31,17,14,4,553,15,22,44,27,37
Palak Paneer,467,43,70,23,10,4,413,26,26,20,6,35
Pakistani Desserts Special 240,763,41,73,18,9,15,470,21,30,17,28,17
Pakistani Desserts Special 241,277,34,45,39,4,11,235,13,39,15,24,37
Pakistani Desserts Special 242,499,6,31,16,3,11,253,34,18,56,19,30
Aloo Gosht,340,29,63,20,8,9,1174,0,11,44,13,19
Pakistani Desserts Special 244,348,32,46,34,3,5,709,3,10,48,29,38
Chapli Kabab,718,11,51,12,9,12,463,27,14,11,27,34
Seekh Kabab,403,37,46,23,10,10,1371,65,11,23,28,30
Lahori Chargha,662,39,71,36,8,9,853,95,5,52,15,32
Seekh Kabab,510,18,66,17,2,19,1232,69,10,29,29,18
Nihari,153,18,78,27,2,17,1128,0,15,16,11,35
Pakistani Desserts Special 250,348,48,45,36,14,3,669,25,29,32,18,26
Sajji,723,24,43,25,3,10,415,3,7,39,20,18
Dal Makhani,210,10,78,14,12,6,1056,22,10,36,20,14
Sajji,275,39,41,20,14,15,293,64,22,59,27,39
Chicken Tikka,610,43,55,29,2,18,1153,99,26,29,19,32
Korma,754,12,44,26,13,15,652,9,38,55,14,18
Sindhi Biryani,540,20,30,15,6,9,1176,0,5,55,8,17
Pakistani Desserts Special 257,325,43,57,36,2,13,1049,1,36,53,16,17
Chicken Tikka,388,43,37,37,8,17,685,98,18,57,27,23
Aloo Gosht,598,48,36,22,7,6,1078,17,28,45,9,12
Karahi,340,27,52,15,14,19,384,94,9,28,7,11
Pakistani Desserts Special 261,567,34,39,25,7,9,1097,0,12,55,11,20
Seekh Kabab,575,11,38,15,9,9,1036,20,14,23,9,16
Pakistani Desserts Special 263,633,33,46,37,8,18,1149,90,26,44,10,23
Nihari,553,36,42,16,13,12,541,87,15,33,14,21
Pakistani Desserts Special 265,325,13,30,10,7,11,1453,6,24,48,20,28
Haleem,350,14,49,14,3,6,1470,36,27,25,25,12
Dal Makhani,493,12,30,11,12,19,290,49,35,25,16,36
Pakistani Desserts Special 268,265,16,40,25,3,3,1078,98,38,48,18,31
Korma,250,28,79,26,6,14,246,77,23,57,27,37
Dal Makhani,313,17,31,20,6,5,1320,45,22,12,12,11
Chapli Kabab,203,28,63,34,4,7,827,94,26,42,16,15
Korma,508,27,65,38,6,12,333,12,8,33,26,12
Pakistani Desserts Special 273,681,22,47,33,3,8,1089,24,5,8,22,23
Dal Makhani,296,18,50,17,14,18,913,12,8,7,7,25
Dal Makhani,324,24,37,31,4,10,1232,0,15,38,20,19
Seekh Kabab,714,19,53,27,13,6,586,51,30,6,18,35
Dal Makhani,737,46,73,21,4,9,444,96,14,36,14,23
Nihari,699,24,69,24,7,15,577,56,27,41,24,24
Sindhi Biryani,510,15,31,12,3,19,1272,88,37,9,19,22
Pakistani Desserts Special 280,304,35,58,23,10,17,521,9,20,30,28,19
Nihari,359,34,69,20,11,2,503,38,14,59,8,31
Korma,531,48,64,35,14,2,789,47,16,58,25,17
Chicken Tikka,310,5,58,14,12,17,501,50,22,20,7,21
Chicken Tikka,692,47,61,21,12,3,1450,69,24,37,6,18
Aloo Gosht,589,19,31,20,14,4,584,68,11,27,18,16
Pakistani Desserts Special 286,170,21,31,21,13,18,595,70,36,31,18,13
Korma,168,34,72,18,11,10,605,66,26,49,9,35
Seekh Kabab,688,8,56,14,9,15,419,36,13,40,22,28
Karahi,611,34,73,21,4,4,1476,0,13,54,13,22
Pakistani Desserts Special 290,254,9,45,21,5,18,1272,28,14,8,11,31
Paya,482,37,46,27,2,19,415,50,35,26,17,20
Aloo Gosht,647,25,59,31,5,8,818,41,18,46,22,17
Pakistani Desserts Special 293,549,35,67,34,4,2,1298,59,17,13,24,34
Paya,435,34,79,30,13,18,224,43,6,32,26,16
Sindhi Biryani,368,5,58,15,5,15,445,57,18,51,14,23
Biryani,371,21,49,18,9,5,891,17,32,27,27,26
Chicken Tikka,393,26,69,30,4,3,486,34,13,48,18,19
Aloo Gosht,352,24,77,38,10,18,738,63,28,59,29,15
Pakistani Desserts Special 299,210,6,44,21,14,8,397,71,20,36,14,21
Haleem,581,42,60,29,4,7,915,14,26,31,16,24
Aloo Gosht,463,47,66,33,4,4,612,95,30,48,8,19
Haleem,217,42,45,27,10,18,650,89,34,23,19,33
Palak Paneer,595,26,68,24,6,12,1200,43,23,42,19,33
Chicken Tikka,732,11,65,19,3,6,1464,0,16,15,9,27
Aloo Gosht,709,36,79,28,4,9,1031,36,24,37,9,13
Chapli Kabab,199,17,30,27,2,7,912,81,6,51,9,25
Pakistani Desserts Special 307,614,14,70,22,9,10,923,23,14,7,9,23
Pakistani Desserts Special 308,770,37,79,33,9,6,1147,41,38,21,7,29
Pakistani Desserts Special 309,199,48,41,31,10,17,1221,31,20,24,20,20
Nihari,645,21,50,28,3,17,984,16,19,37,9,35
Haleem,567,44,56,38,9,9,487,95,9,10,13,29
Pakistani Desserts Special 312,381,32,73,32,8,16,823,0,7,30,7,36
Pakistani Desserts Special 313,306,23,74,38,3,13,658,59,21,59,18,26
Sindhi Biryani,600,25,51,36,11,11,485,62,31,23,26,36
Palak Paneer,599,40,44,15,6,12,636,0,20,54,13,39
Pakistani Desserts Special 316,710,10,52,24,8,3,779,0,17,12,19,20
Seekh Kabab,319,16,45,22,12,10,821,64,10,5,23,25
Haleem,688,37,30,38,4,17,837,87,9,30,29,19
Pakistani Desserts Special 319,299,12,50,11,2,4,200,2,30,48,15,25
Pakistani Desserts Special 320,224,37,44,36,4,15,1248,11,33,8,11,11
Korma,715,43,76,30,11,5,1423,4,33,39,8,32
Chapli Kabab,575,16,47,26,9,18,1088,59,28,55,20,31
Palak Paneer,662,8,39,19,9,12,847,73,9,37,23,34
Sajji,688,43,43,33,14,9,1409,18,37,43,15,36
Karahi,419,20,48,20,10,8,1138,96,38,18,20,16
Biryani,684,15,51,25,2,6,741,20,19,9,11,11
Paya,767,39,40,35,7,10,1063,30,38,27,19,28
Pakistani Desserts Special 328,711,47,57,29,10,13,1153,57,17,28,14,31
Aloo Gosht,649,23,51,34,3,19,1356,56,20,44,26,33
Biryani,568,22,59,37,4,2,439,20,25,30,13,27
Korma,294,41,71,25,4,17,469,69,24,46,5,28
Paya,603,26,61,16,11,9,800,31,30,29,6,15
Pakistani Desserts Special 333,353,44,43,30,7,16,960,74,17,43,7,10
Pakistani Desserts Special 334,768,28,32,21,14,19,371,65,5,44,14,24
Aloo Gosht,228,22,73,37,10,19,1180,0,34,29,19,16
Chapli Kabab,657,33,38,32,13,16,969,55,12,12,23,16
Palak Paneer,661,40,55,17,13,13,454,82,11,15,28,19
Sindhi Biryani,450,43,36,37,8,7,945,55,34,47,21,20
Pakistani Desserts Special 339,532,25,64,30,2,4,617,70,31,55,28,12
Paya,465,9,50,27,6,4,745,3,27,46,29,21
Pakistani Desserts Special 341,434,37,33,28,3,9,950,0,15,35,19,36
Pakistani Desserts Special 342,512,17,51,22,13,14,1266,20,5,39,8,10
Seekh Kabab,391,47,50,32,11,13,363,59,25,42,12,24
Sindhi Biryani,385,38,75,23,7,13,1428,74,23,28,15,32
Chicken Tikka,736,6,63,17,11,8,1006,62,21,33,11,39
Chicken Tikka,656,8,64,13,6,2,809,97,17,18,25,15
Pakistani Desserts Special 347,368,41,55,29,14,2,331,0,36,20,19,28
Lahori Chargha,424,38,59,27,10,2,559,62,38,40,27,19
Karahi,574,30,57,16,9,15,1431,78,39,57,14,14
Biryani,456,7,36,25,7,4,972,8,32,51,16,36
Chapli Kabab,391,37,69,33,14,5,650,99,21,57,6,15
Sindhi Biryani,165,10,38,13,2,4,1042,84,24,10,24,25
Seekh Kabab,546,35,64,39,7,14,818,83,19,44,23,31
Karahi,781,44,31,17,14,17,479,0,18,19,20,35
Paya,703,12,65,23,13,9,449,0,36,16,25,11
Sindhi Biryani,191,43,49,38,4,5,717,77,5,18,14,29
Sindhi Biryani,200,5,38,29,13,10,737,90,38,48,15,28
Pakistani Desserts Special 358,701,25,78,30,10,9,203,61,16,22,9,27
Palak Paneer,422,24,73,27,4,17,344,64,39,24,19,18
Pakistani Desserts Special 360,192,40,53,27,6,16,687,76,24,32,29,24
Korma,504,45,49,20,4,16,1021,86,20,35,11,38
Pakistani Desserts Special 362,784,22,38,39,14,12,333,27,6,38,24,10
Pakistani Desserts Special 363,308,39,48,17,5,19,828,15,16,47,18,32
Pakistani Desserts Special 364,479,14,43,29,4,3,236,55,10,16,17,30
Pakistani Desserts Special 365,768,42,60,18,10,16,1467,66,31,34,25,17
Biryani,417,17,34,27,9,8,1145,17,5,17,6,38
Karahi,416,12,40,13,5,5,767,0,20,43,24,32
Pakistani Desserts Special 368,394,17,56,22,14,19,1465,49,19,15,9,27
Pakistani Desserts Special 369,687,12,33,11,4,9,1300,48,18,44,26,18
Pakistani Desserts Special 370,743,23,35,28,10,16,627,39,15,29,6,28
Pakistani Desserts Special 371,652,44,30,37,4,4,581,60,27,11,29,31
Chicken Tikka,265,7,71,25,13,12,657,55,9,39,17,30
Seekh Kabab,759,39,70,26,4,13,930,83,20,19,8,38
Sajji,228,17,43,11,4,17,811,4,19,5,16,31
Biryani,797,11,56,22,12,17,839,0,39,12,7,22
Karahi,660,20,73,30,8,2,803,62,39,11,5,38
Pakistani Desserts Special 377,568,49,79,26,13,7,415,0,14,5,20,28
Pakistani Desserts Special 378,777,42,45,16,12,16,542,43,7,17,25,21
Pakistani Desserts Special 379,737,49,44,35,10,11,212,69,6,35,11,32
Chicken Tikka,758,16,48,21,9,19,773,43,27,55,26,33
Biryani,520,15,46,14,4,14,530,63,23,29,24,21
Biryani,235,31,34,38,5,19,341,62,24,14,16,27
Chapli Kabab,317,24,78,15,14,11,505,55,5,50,6,37
Pakistani Desserts Special 384,278,38,36,32,14,10,930,49,39,47,21,31
Pakistani Desserts Special 385,777,46,54,31,2,9,1201,90,12,52,15,23
Pakistani Desserts Special 386,392,48,69,20,12,2,1128,35,26,23,9,37
Pakistani Desserts Special 387,553,11,49,21,10,2,1061,0,7,25,18,30
Korma,252,45,53,35,12,16,722,0,6,15,15,35
Chapli Kabab,764,21,66,16,6,13,599,20,38,40,26,18
Aloo Gosht,321,15,52,11,13,2,715,32,20,19,10,13
Pakistani Desserts Special 391,737,17,67,29,13,7,597,19,23,40,26,34
Pakistani Desserts Special 392,368,25,31,24,11,14,308,93,8,41,28,29
Chicken Tikka,461,41,30,23,2,16,283,53,28,15,24,16
Chapli Kabab,218,37,57,25,6,9,1457,88,17,50,23,16
Pakistani Desserts Special 395,746,14,77,20,6,2,1043,18,10,30,14,28
Dal Makhani,261,32,47,37,3,16,1321,8,36,52,19,29
Pakistani Desserts Special 397,451,6,67,18,8,15,1241,84,24,42,6,30
Paya,754,29,71,22,11,18,204,79,18,29,15,26
Palak Paneer,409,23,61,33,4,15,1212,35,32,50,14,12
Nihari,425,34,40,35,7,14,773,30,9,34,14,39
Pakistani Desserts Special 401,789,32,54,29,2,10,201,38,27,26,26,10
Pakistani Desserts Special 402,600,23,31,29,11,12,330,12,29,46,18,34
Pakistani Desserts Special 403,497,38,46,19,3,2,216,89,39,41,15,17
Seekh Kabab,651,44,32,34,13,16,1025,59,32,49,28,39
Dal Makhani,551,30,64,15,4,18,1135,87,29,16,8,11
Sajji,288,13,54,23,3,18,1293,87,11,8,24,33
Pakistani Desserts Special 407,374,8,66,18,10,3,902,7,33,7,24,19
Pakistani Desserts Special 408,422,23,72,27,10,14,365,18,10,40,29,19
